2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,2
16,2
17,2
18,2
19,4
20,3
21,4
22,5
23,6
24,6
25,7
26,8
27,8
28,9
29,11
30,11
31,12
32,12
33,13
34,15
35,16
36,18
37,21
38,21
39,22
40,24
41,25
42,26
43,28
44,30
45,32
46,34
47,32
48,36
49,41
50,40
51,40
52,45
53,59
54,52
55,57
56,61
57,57
58,60
59,63
60,66
61,71
62,72
63,76
64,79
65,84
66,92
67,86
68,92
69,99
70,103
71,105
72,110
73,114
74,117
75,131
76,127
77,127
78,136
79,139
80,140
81,147
82,160
83,167
84,182
85,171
86,179
87,178
88,179
89,189
90,202
91,211
92,210
93,222
94,234
95,222
96,243
97,248
98,260
99,266
100,269
101,280
102,291
103,313
104,319
105,334
106,317
107,316
108,325
109,336
110,356
111,365
112,342
113,369
114,369
115,394
116,394
117,417
118,427
119,426
120,468
121,456
122,479
123,471
124,491
125,496
126,522
127,516
128,547
129,593
130,538
131,571
132,560
133,593
134,588
135,622
136,668
137,654
138,674
139,620
140,705
141,680
142,726
143,725
144,707
145,744
146,761
147,778
148,815
149,809
150,794
151,818
152,855
153,819
154,887
155,885
156,904
157,928
158,903
159,921
160,1002
161,954
162,971
163,1003
164,1026
165,1081
166,1101
167,1081
168,1060
169,1115
170,1127
171,1141
172,1158
173,1176
174,1194
175,1248
176,1213
177,1210
178,1253
179,1241
180,1286
181,1439
182,1367
183,1364
184,1448
185,1480
186,1485
187,1454
188,1508
189,1500
190,1539
191,1583
192,1592
193,1565
194,1593
195,1574
196,1583
197,1639
198,1616
199,1672
200,1706
201,1736
202,1726
203,1759
204,1849
205,1921
206,1950
207,1902
208,1931
209,2004
210,1919
211,1992
212,2013
213,2025
214,2023
215,2060
216,2131
217,2157
218,2158
219,2132
220,2168
221,2208
222,2364
223,2281
224,2282
225,2313
226,2424
227,2449
228,2448
229,2505
230,2563
231,2609
232,2605
233,2618
234,2706
235,2740
236,2670
237,2686
238,2710
239,2795
240,2896
241,2818
242,2921
243,2941
244,2936
245,2971
246,3115
247,3114
248,3167
249,3185
250,3274
251,3177
252,3233
253,3283
254,3536
255,6969
256,3404
257,3433
258,3631
259,3578
260,3803
261,3682
